MASTERID,STRATUM,WT_A,income,logincome,region,numadults,numchildren,age,female,medicaid,insured,ownhome,educcat,racecat
00001279J,75,45.51734924,,,R,3,0,66,1,0,1,1,4,1
00001888G,95,48.50620651,13000,9.472781557,M,1,0,69,1,0,1,0,6,1
00002850E,103,263.8686218,,,M,1,0,52,1,0,0,0,6,1
00006052L,20,122.4456635,,,S,1,0,78,1,0,1,1,4,1
00009129J,80,36.51465225,60000,11.00211651,R,3,0,47,1,0,1,1,4,1
00014280E,92,148.6614838,32000,10.37352243,M,1,0,68,1,0,1,0,4,1
00015899F,37,34.03021622,,,A,2,0,80,0,0,1,1,7,1
00016128C,8,40.05890656,30000,10.30898599,A,3,0,62,1,0,1,1,6,1
00017516K,47,263.5020142,40000,10.59665973,S,2,0,71,0,0,1,1,4,1
00018041C,32,24.7028904,14400,9.575052928,R,1,0,82,1,0,1,1,4,1
00026128L,71,774.3040161,35000,10.46313191,R,4,0,23,0,0,0,0,4,1
00029018C,9,196.5770264,28000,10.2399955,M,2,0,57,1,0,1,0,4,1
00033773B,46,220.25354,40000,10.59665973,M,2,0,32,0,0,1,1,7,1
00036584C,92,257.2611389,90000,11.40757606,M,2,0,55,1,0,1,1,4,1
00042264H,87,659.2686157,,,M,4,0,27,1,0,0,0,6,1
00046485E,97,50.50529862,,,M,1,0,85,1,0,1,1,4,1
00055836B,14,75.83181,0,0,R,1,0,48,0,1,1,0,2,1
00056801K,31,11.55114269,25000,10.1266711,A,1,2,41,1,0,1,1,4,1
00060676E,36,125.6567078,,,R,2,2,40,1,0,1,0,4,1
00062124E,26,687.0886231,80000,11.28979441,S,3,0,34,0,0,1,1,4,1
00064024A,97,271.9345703,45000,10.71443999,M,3,0,60,0,0,1,0,6,1
00066191G,37,86.48970795,25000,10.1266711,A,2,0,66,1,0,1,1,3,1
00066703C,58,14.22105312,,,R,2,0,81,1,0,1,1,5,1
00071102J,103,157.947937,60000,11.00211651,S,2,0,52,1,0,1,1,5,1
00077956F,101,224.1181946,10560,9.26492325,M,9,0,50,1,0,1,1,4,3
00080761F,81,73.38684845,45000,10.71443999,S,2,3,50,1,0,1,1,6,1
00081279E,95,291.665802,70000,11.15626481,M,2,0,70,0,0,1,1,8,1
00087607C,2,774.3040161,,,M,3,0,22,0,0,0,1,6,1
00091605G,41,268.315033,,,A,3,0,50,0,0,1,1,4,1
00099948E,71,146.0295868,,,M,2,0,75,1,0,1,1,5,1
00105143A,98,119.5742874,150000,11.91839724,M,2,0,63,0,0,1,1,8,1
00108753A,83,695.3408203,8500,9.047939083,M,1,2,24,1,1,1,1,7,1
00109001L,46,150.7336121,45000,10.71443999,M,1,2,37,0,0,1,1,4,1
00110153L,31,12.25189018,100000,11.51293547,A,2,2,52,1,0,1,1,8,1
00112415A,65,113.1317978,20000,9.903537551,M,1,0,59,1,0,0,0,4,1
00113638F,22,372.4997253,41000,10.62135174,S,2,1,79,1,0,1,0,4,1
00114456J,77,153.9503632,40000,10.59665973,M,2,0,67,0,0,1,1,7,1
00115511H,36,104.4512482,,,R,3,0,51,1,0,0,1,4,1
00117557K,85,200.9871521,7000,8.853808275,M,2,1,27,1,0,0,1,5,2
00120456C,30,19.45053291,32400,10.38594457,R,2,0,64,1,0,1,1,4,3
00137319C,10,14.20785427,14000,9.546884035,A,1,0,66,1,0,1,1,5,1
00140964C,101,288.7505493,18000,9.798182591,M,7,1,23,1,1,1,0,4,3
00141473F,65,420.9922485,90000,11.40757606,M,1,0,34,0,0,1,1,4,1
00142840E,44,107.1659088,,,M,2,1,40,1,0,1,1,6,1
00143655A,9,159.8701325,110000,11.60824474,R,2,0,43,1,0,1,1,8,1
00147776K,81,36.69342423,15000,9.615872145,S,1,0,58,1,0,1,1,6,1
00148806B,85,69.83100891,20000,9.903537551,M,2,0,50,1,0,1,1,6,1
00150611K,83,375.7427673,,,M,3,0,59,0,0,1,1,8,1
00153375F,72,96.33956146,,,S,1,0,76,1,0,1,0,4,2
00155248L,46,6.281051159,,,S,1,0,84,1,1,1,1,4,3
00157024B,1,25.29926109,60000,11.00211651,A,2,3,37,0,0,1,1,6,1
00157346K,100,9.081703186,,,M,1,0,79,0,0,0,0,5,1
00158664H,83,249.1175079,0,0,M,1,0,83,1,1,1,1,3,1
00160289C,101,86.33810425,50000,10.81979828,M,2,0,82,0,0,1,0,7,3
00161319G,55,44.49238968,26000,10.16589028,A,1,0,67,1,0,1,1,5,1
00167701K,21,42.3257103,120000,11.69525536,R,2,0,66,1,0,1,1,8,1
00169590H,94,17.95511818,55000,10.91510665,M,1,2,27,1,1,1,1,5,1
00172547K,68,61.46437454,80000,11.28979441,A,3,0,52,1,0,1,1,7,1
00174158K,92,124.0062103,19200,9.86271764,M,1,0,71,1,0,1,1,4,1
00174733S,93,665.8416138,30000,10.30898599,M,1,0,49,0,0,1,1,4,1
00176018J,19,43.47236633,50000,10.81979828,R,1,0,64,0,0,1,0,7,1
00188961G,55,255.3856659,,,A,1,0,84,0,0,1,1,2,1
00196114K,33,53.9788475,20000,9.903537551,A,2,0,70,1,0,1,1,4,1
00197622J,50,95.98576355,70000,11.15626481,R,4,0,46,1,0,1,1,4,1
00198918K,84,42.93531036,50000,10.81979828,M,1,0,63,1,0,1,1,8,1
00209036F,7,246.9555664,35000,10.46313191,A,3,1,63,0,0,1,1,5,1
00211843J,38,59.34935379,10000,9.210440367,A,1,0,80,1,0,1,1,4,1
00219423B,17,76.10934448,39000,10.57134257,R,2,0,61,1,0,1,1,4,1
00222945C,22,672.3934326,120000,11.69525536,S,3,0,46,0,0,1,1,4,1
00224644K,95,352.2250366,125000,11.73607702,M,2,1,37,1,0,1,1,8,1
00226144L,97,63.43730164,15000,9.615872145,M,1,2,45,1,0,0,0,4,2
00227479G,46,22.04772949,30000,10.30898599,S,1,0,55,1,0,1,1,6,2
00230201A,22,171.5977936,150000,11.91839724,S,1,0,41,1,0,1,1,8,1
00232557H,85,28.3514328,,,M,1,0,52,1,1,1,1,5,1
00233017H,93,60.20856094,110000,11.60824474,A,2,1,37,1,0,1,1,8,1
00234099B,90,145.2958527,18000,9.798182591,M,1,0,83,1,0,1,1,4,1
00234232H,30,36.08267593,18000,9.798182591,R,1,0,78,1,0,1,1,4,1
00234474K,54,60.77201462,,,A,1,0,60,1,0,1,1,3,1
00234705L,93,23.93600273,7644,8.941807118,M,1,0,75,1,1,1,0,8,2
00236358E,9,287.8030701,15000,9.615872145,M,2,0,77,1,0,1,1,3,1
