_TYPE_,_NAME_,male,educ_somecoll,educ_bach,educ_graddeg,race_black,race_asian,race_other,hisp,age_18_29,age_30_39,age_40_49,age_50_59,age_60_69
MEAN,,0.4866412891,0.3035347104,0.1926536432,0.1137554295,0.1246630677,0.0607530068,0.078548138,0.1639740245,0.2098458117,0.1729074264,0.1591841701,0.1641018016,0.150377617
COV,male,0.2498215458,-0.005605657,-0.003158751,-0.002325556,-0.002364887,-0.001237035,0.001257178,0.0022675845,0.0050278313,0.0027723536,0.0013131813,0.0004403763,-0.001801687
COV,educ_somecoll,-0.005605657,0.2114013908,-0.058477068,-0.034528721,0.0045991784,-0.005461466,-0.00077908,-0.004695419,0.0165565712,-0.002629471,-0.00315319,-0.002270596,-0.000401957
COV,educ_bach,-0.003158751,-0.058477068,0.1555382176,-0.021915398,-0.007918264,0.0061051032,-0.005652642,-0.013406961,-0.002921614,0.0080884397,0.0037784868,-0.000063551,-0.002299041
COV,educ_graddeg,-0.002325556,-0.034528721,-0.021915398,0.1008151321,-0.004693333,0.0063463254,-0.004762493,-0.010914869,-0.014887739,0.0052611513,0.0053250481,0.0008955733,0.0018568504
COV,race_black,-0.002364887,0.0045991784,-0.007918264,-0.004693333,0.1091221876,-0.007573656,-0.009792052,-0.016888293,0.0046943708,0.0016138376,0.0009629764,-0.000189675,-0.001847347
COV,race_asian,-0.001237035,-0.005461466,0.0061051032,0.0063463254,-0.007573656,0.0570620792,-0.004772036,-0.009217569,0.0003476388,0.0023263173,0.0018431069,-0.000628745,-0.001665008
COV,race_other,0.001257178,-0.00077908,-0.005652642,-0.004762493,-0.009792052,-0.004772036,0.0723783283,0.0385299909,0.0074231572,0.0038437714,0.0018933745,-0.001874164,-0.004705082
COV,hisp,0.0022675845,-0.004695419,-0.013406961,-0.010914869,-0.016888293,-0.009217569,0.0385299909,0.1370865444,0.0117755385,0.0073366129,0.0051886031,-0.003110308,-0.009329895
COV,age_18_29,0.0050278313,0.0165565712,-0.002921614,-0.014887739,0.0046943708,0.0003476388,0.0074231572,0.0117755385,0.1658105477,-0.036283899,-0.033404132,-0.034436076,-0.031556113
COV,age_30_39,0.0027723536,-0.002629471,0.0080884397,0.0052611513,0.0016138376,0.0023263173,0.0038437714,0.0073366129,-0.036283899,0.1430104489,-0.027524125,-0.02837442,-0.026001407
COV,age_40_49,0.0013131813,-0.00315319,0.0037784868,0.0053250481,0.0009629764,0.0018431069,0.0018933745,0.0051886031,-0.033404132,-0.027524125,0.1338445706,-0.026122409,-0.023937736
COV,age_50_59,0.0004403763,-0.002270596,-0.000063551,0.0008955733,-0.000189675,-0.000628745,-0.001874164,-0.003110308,-0.034436076,-0.02837442,-0.026122409,0.1371724008,-0.024677238
COV,age_60_69,-0.001801687,-0.000401957,-0.002299041,0.0018568504,-0.001847347,-0.001665008,-0.004705082,-0.009329895,-0.031556113,-0.026001407,-0.023937736,-0.024677238,0.1277641898
